epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate
1,3.835094724845886,0.0628,2.751809502298182,0.23454545454545456,0.001
2,2.876038994026184,0.1666,2.3405967182462866,0.27454545454545454,0.001
3,2.4194486814022063,0.253,1.8788675583492627,0.4572727272727273,0.001
4,2.1030641969680786,0.338,1.7441924379901452,0.46545454545454545,0.001
5,1.8941870297431946,0.3832,1.6705638059330257,0.48727272727272725,0.001
6,1.684994761133194,0.4496,1.5224440402165056,0.52,0.001
7,1.5211439270019531,0.498,1.60302819179371,0.44363636363636366,0.001
8,1.3930332381725312,0.5418,1.4114254198528149,0.519090909090909,0.001
9,1.309861236768961,0.5698,1.1919328520870345,0.5936363636363636,0.001
10,1.2067304242372512,0.6004,1.1534445472679693,0.6272727272727273,0.001
11,1.1237770432531833,0.617,1.000693687635728,0.7009090909090909,0.001
12,1.0158806199878454,0.653,1.0378926125760402,0.6645454545454546,0.001
13,0.9858544129610062,0.6678,1.0443774582568917,0.71,0.001
14,0.9141104836642742,0.6882,1.0427000156205826,0.7354545454545455,0.001
15,0.9004675478041172,0.699,1.0668826942175986,0.7118181818181818,0.001
